%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
36.0, -62.47128885984421, -183.10550183057785, -246.53420507907867, -26.328895688056946, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304343409E9, 0.0, 2024-02-21 20:15:04.343
37.0, -682.6364591121674, -477.2710727453232, -784.8404451012611, -143.13345110416412, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304346523E9, 0.0, 2024-02-21 20:15:04.346
37.0, 26.807602882385254, 225.47108852863312, 268.55473601818085, 47.15265864133835, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304346523E9, 0.0, 2024-02-21 20:15:04.346
38.0, 627.3457781672478, 520.5940738320351, 800.3984289169312, 157.49466693401337, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304357728E9, 0.0, 2024-02-21 20:15:04.357
38.0, -58.8809849023819, -174.4887723326683, -242.46519392728806, -28.722431659698486, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304357728E9, 0.0, 2024-02-21 20:15:04.357
39.0, -670.9081328511238, -488.7600454092026, -784.3617379069328, -146.24504786729813, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304373752E9, 0.0, 2024-02-21 20:15:04.373
39.0, 23.456652522087097, 206.56215435266495, 257.06576335430145, 40.92946511507034, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304373752E9, 0.0, 2024-02-21 20:15:04.373
40.0, 631.6541429162025, 525.6204993724823, 805.9035616517067, 154.86177736520767, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304376652E9, 0.0, 2024-02-21 20:15:04.376
40.0, -50.98231619596481, -176.40360110998154, -249.16709464788437, -25.850188493728638, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304376652E9, 0.0, 2024-02-21 20:15:04.376
41.0, -666.3604145050049, -488.7600454092026, -792.2604066133499, -138.1070255637169, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304387746E9, 0.0, 2024-02-21 20:15:04.387
41.0, 20.345055758953094, 212.0672870874405, 254.6722273826599, 40.69011151790619, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304387746E9, 0.0, 2024-02-21 20:15:04.387
42.0, 631.8934965133667, 531.1256321072578, 809.0151584148407, 152.94694858789444, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730440343E9, 0.0, 2024-02-21 20:15:04.403
42.0, -49.78554821014404, -177.6003690958023, -230.01880687475204, -33.74885720014572, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730440343E9, 0.0, 2024-02-21 20:15:04.403
43.0, -673.7803760170937, -486.36650943756104, -792.0210530161858, -142.65474390983582, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304406602E9, 0.0, 2024-02-21 20:15:04.406
43.0, 20.345055758953094, 208.9556903243065, 252.75739860534668, 45.237829864025116, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304406602E9, 0.0, 2024-02-21 20:15:04.406
44.0, 631.1754357218742, 525.8598529696465, 809.493865609169, 158.21272772550583, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304417826E9, 0.0, 2024-02-21 20:15:04.417
44.0, -51.93973058462143, -177.6003690958023, -235.5239396095276, -26.5682492852211, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304417826E9, 0.0, 2024-02-21 20:15:04.417
45.0, -675.4558511972427, -490.43552058935165, -797.5261857509613, -145.52698707580566, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304434527E9, 0.0, 2024-02-21 20:15:04.434
45.0, 20.345055758953094, 199.62090003490448, 244.61937630176544, 44.99847626686096, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304434527E9, 0.0, 2024-02-21 20:15:04.434
46.0, 640.5102260112762, 522.5089026093483, 811.6480479836464, 155.10113096237183, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730443847E9, 0.0, 2024-02-21 20:15:04.438
46.0, -44.041061878204346, -173.05265074968338, -232.17298924922943, -23.456652522087097, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70855730443847E9, 0.0, 2024-02-21 20:15:04.438
47.0, -675.6952047944069, -492.8290565609932, -795.3720033764839, -146.48440146446228, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304447693E9, 0.0, 2024-02-21 20:15:04.447
47.0, 24.89277410507202, 196.98801046609879, 246.29485148191452, 41.40817230939865, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304447693E9, 0.0, 2024-02-21 20:15:04.447
48.0, 631.6541429162025, 529.2108033299446, 810.6906335949898, 152.22888779640198, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304463315E9, 0.0, 2024-02-21 20:15:04.463
48.0, -40.21140432357788, -157.49466693401337, -223.79561334848404, -21.78117734193802, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304463315E9, 0.0, 2024-02-21 20:15:04.463
49.0, -673.5410224199295, -486.84521663188934, -798.7229537367821, -143.85151189565659, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304466333E9, 0.0, 2024-02-21 20:15:04.466
49.0, 20.10570216178894, 191.7222313284874, 242.94390112161636, 40.69011151790619, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304466333E9, 0.0, 2024-02-21 20:15:04.466
50.0, 635.9625076651573, 532.5617536902428, 818.828655898571, 153.90436297655106, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304477724E9, 0.0, 2024-02-21 20:15:04.477
50.0, -28.243724465370178, -163.23915326595306, -217.09371262788773, -23.69600611925125, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304477724E9, 0.0, 2024-02-21 20:15:04.477
51.0, -664.92429292202, -497.85548210144043, -799.4410145282745, -145.2876334786415, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304493396E9, 0.0, 2024-02-21 20:15:04.493
51.0, 19.626994967460632, 190.28610974550247, 240.07165795564651, 46.19524425268173, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304493396E9, 0.0, 2024-02-21 20:15:04.493
52.0, 640.9889332056046, 523.2269634008408, 802.5526112914085, 153.42565578222275, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304497744E9, 0.0, 2024-02-21 20:15:04.497
52.0, -33.988210797309875, -169.70170038938522, -227.1465637087822, -31.83402842283249, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304497744E9, 0.0, 2024-02-21 20:15:04.497
53.0, -672.1049008369446, -505.2754436135292, -807.1003296375275, -151.75018060207367, 0.0, 0.144000006839633, 1.0400000493973494, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708557304507763E9, 0.0, 2024-02-21 20:15:04.507
