Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Timestamp,Other,Timestamp (Formatted)
26.0,-28.438199263066053,378.6330813639797,-12749.535863144323,-273.0463558649644,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852120466E9,0.0,2024-01-17 18:55:21.204
26.0,-27.862254669889808,378.1880332692526,-12749.707898542285,-273.25953016243875,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521204672E9,0.0,2024-01-17 18:55:21.204
27.0,-28.52047706209123,378.4498262661509,-12749.700418742374,-273.45026506017894,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521206365E9,0.0,2024-01-17 18:55:21.206
27.0,-29.126340854912996,378.7564980625175,-12749.67797934264,-395.9787373584695,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521206376E9,0.0,2024-01-17 18:55:21.206
28.0,-29.04406305588782,378.5021848655306,-12749.816355641,-396.1395530565642,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521220705E9,0.0,2024-01-17 18:55:21.220
28.0,-28.352181564085186,378.10575547022745,-12749.992130938917,-396.382646553684,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521220718E9,0.0,2024-01-17 18:55:21.220
29.0,-28.741131159476936,378.21795246889815,-12749.999610738829,-396.51728295208886,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521234571E9,0.0,2024-01-17 18:55:21.234
29.0,-29.3843939518556,378.25161156849936,-12749.853754640557,-396.63321985071525,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.70552852123458E9,0.0,2024-01-17 18:55:21.234
30.0,-29.32829545252025,378.0159978712909,-12750.070668837987,-396.7715961490758,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521236171E9,0.0,2024-01-17 18:55:21.236
30.0,-28.58405536133796,377.54477047687396,-12750.257663835771,-397.00720984628424,-1.0400000493973494,-1.0400000493973494,1.0400000493973494,0.0,0.0,0.0,0.0,0.0,1.705528521236179E9,0.0,2024-01-17 18:55:21.236
